,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
231,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
232,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
233,cidreira,br,0.0,76.0,-30.17,-50.22,59.95,59.95,13.13,1533671526
234,porto walter,br,32.0,73.0,-8.27,-72.74,82.27,82.27,2.28,1533671526
236,moree,au,0.0,78.0,-29.46,149.84,34.57,34.57,2.95,1533671527
237,santa fe,ar,100.0,53.0,-31.62,-60.7,74.35,74.35,16.71,1533671527
238,castro,cl,56.0,93.0,-42.48,-73.76,46.72,46.72,4.07,1533671512
239,vedeno,ru,92.0,75.0,42.97,46.1,71.65,71.65,2.73,1533671527
240,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
241,nyurba,ru,44.0,91.0,63.29,118.35,57.88,57.88,2.39,1533671528
242,saint george,bm,75.0,83.0,32.38,-64.68,78.8,78.8,8.05,1533668100
243,cabot,us,1.0,52.0,34.97,-92.02,94.1,95.0,12.75,1533668160
244,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
245,zaraza,ve,20.0,98.0,9.35,-65.33,80.38,80.38,10.22,1533671529
246,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
247,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
248,nanortalik,gl,56.0,88.0,60.14,-45.24,45.46,45.46,11.45,1533671529
249,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
250,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
251,lahij,ye,64.0,61.0,13.06,44.88,80.47,80.47,8.21,1533671530
252,castro,cl,56.0,93.0,-42.48,-73.76,46.72,46.72,4.07,1533671512
253,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
254,namatanai,pg,36.0,100.0,-3.66,152.44,80.11,80.11,7.76,1533671531
255,vangaindrano,mg,0.0,97.0,-23.35,47.6,59.95,59.95,2.95,1533671531
256,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
257,new norfolk,au,75.0,62.0,-42.78,147.06,51.8,51.8,14.99,1533670200
258,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
260,monkey bay,mw,0.0,96.0,-14.08,34.91,74.89,74.89,4.85,1533671533
261,ilulissat,gl,75.0,54.0,69.22,-51.1,59.0,59.0,14.99,1533667800
262,norman wells,ca,90.0,87.0,65.28,-126.83,57.2,57.2,3.36,1533669900
263,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
264,benghazi,ly,0.0,33.0,32.12,20.07,91.4,91.4,19.51,1533667680
265,adet,et,92.0,99.0,11.26,37.49,56.98,56.98,3.62,1533671535
266,sayyan,ye,68.0,95.0,15.17,44.32,53.2,53.2,1.61,1533671535
267,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
268,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
269,namatanai,pg,36.0,100.0,-3.66,152.44,80.11,80.11,7.76,1533671531
270,pangai,to,40.0,60.0,-19.8,-174.35,71.6,71.6,11.41,1533668400
272,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
273,sibu,my,75.0,88.0,2.29,111.83,73.4,73.4,1.12,1533668400
274,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
275,tuatapere,nz,88.0,100.0,-46.13,167.69,42.58,42.58,4.63,1533671484
276,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
277,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
278,kant,kg,88.0,78.0,42.89,74.85,53.74,53.74,1.72,1533671537
279,hostotipaquillo,mx,44.0,63.0,21.06,-104.05,75.79,75.79,2.39,1533671538
280,corner brook,ca,90.0,61.0,48.95,-57.95,76.91,78.8,6.93,1533668400
281,ginir,et,0.0,56.0,7.14,40.71,63.82,63.82,9.44,1533671504
282,flinders,au,0.0,40.0,-34.58,150.85,53.6,53.6,9.17,1533668400
283,jiuquan,cn,0.0,64.0,39.73,98.49,54.1,54.1,3.4,1533671539
284,oranjemund,na,0.0,100.0,-28.55,16.43,57.16,57.16,25.88,1533671490
285,sturgis,us,1.0,39.0,44.41,-103.51,81.36,82.4,9.17,1533669300
286,terrasini,it,20.0,74.0,38.15,13.08,82.4,82.4,5.82,1533669600
287,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
288,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
289,sayyan,ye,68.0,95.0,15.17,44.32,53.2,53.2,1.61,1533671535
290,saskylakh,ru,0.0,81.0,71.97,114.09,54.19,54.19,2.73,1533671540
291,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
292,kodiak,us,75.0,74.0,39.95,-94.76,80.6,80.6,5.82,1533667980
293,sur,om,76.0,79.0,22.57,59.53,87.22,87.22,2.51,1533671541
295,port lincoln,au,32.0,94.0,-34.72,135.86,55.81,55.81,21.74,1533671541
296,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
297,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
298,novyy urengoy,ru,88.0,86.0,66.08,76.63,54.64,54.64,17.94,1533671542
299,kaitangata,nz,64.0,82.0,-46.28,169.85,41.05,41.05,2.95,1533671542
300,bud,no,75.0,88.0,62.91,6.91,60.75,62.6,12.75,1533669600
301,harer,et,20.0,67.0,9.31,42.13,62.02,62.02,5.41,1533671542
303,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
304,sorong,id,36.0,100.0,-0.86,131.25,80.02,80.02,8.43,1533671543
305,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671468
306,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
307,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
309,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
310,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
311,ambulu,id,32.0,100.0,-8.35,113.61,71.92,71.92,7.76,1533671544
312,longyearbyen,sj,75.0,81.0,78.22,15.64,46.4,46.4,9.17,1533667800
313,ancud,cl,20.0,89.0,-41.87,-73.83,48.16,48.16,3.51,1533671502
314,cherskiy,ru,0.0,76.0,68.75,161.3,40.78,40.78,4.18,1533671545
315,atuona,pf,100.0,100.0,-9.8,-139.03,75.16,75.16,14.25,1533671518
316,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
317,mar del plata,ar,0.0,58.0,-46.43,-67.52,46.18,46.18,4.97,1533671502
318,nastola,fi,0.0,63.0,60.95,25.93,62.6,62.6,1.12,1533669600
319,maniitsoq,gl,92.0,96.0,65.42,-52.9,47.89,47.89,19.95,1533671546
320,yeppoon,au,0.0,93.0,-23.13,150.74,41.0,41.0,8.21,1533670200
321,carnarvon,au,0.0,100.0,-24.87,113.63,59.41,59.41,10.78,1533671546
322,nanortalik,gl,56.0,88.0,60.14,-45.24,45.46,45.46,11.45,1533671529
323,sibolga,id,68.0,100.0,1.74,98.78,68.32,68.32,1.39,1533671547
324,georgetown,sh,56.0,100.0,-7.93,-14.42,76.51,76.51,19.28,1533671547
325,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
326,souillac,mu,75.0,64.0,-20.52,57.52,71.6,71.6,9.17,1533668400
327,poirino,it,75.0,83.0,44.92,7.85,73.26,77.0,9.17,1533669600
328,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
329,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
330,provideniya,ru,24.0,100.0,64.42,-173.23,51.04,51.04,11.68,1533671548
331,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
332,college,us,75.0,66.0,64.86,-147.8,55.4,55.4,5.82,1533668280
334,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
335,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
336,tiksi,ru,0.0,82.0,71.64,128.87,49.24,49.24,7.99,1533671513
338,jumla,np,48.0,91.0,29.28,82.18,38.44,38.44,2.84,1533671549
339,dasoguz,tm,0.0,51.0,41.84,59.97,78.55,80.6,6.93,1533668400
340,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
341,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
342,keetmanshoop,na,0.0,72.0,-26.57,18.15,37.99,37.99,6.42,1533671550
343,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
344,tutoia,br,8.0,65.0,-2.76,-42.27,84.61,84.61,14.25,1533671551
345,karratha,au,0.0,50.0,-20.74,116.85,40.06,40.06,2.73,1533671551
346,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
347,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
